z,E,E2,H,Omega_m,Omega_Lambda,Omega_r,Qtilde,q
0.0,0.9999999999999999,0.9999999999999999,69.02999999999999,0.3,0.6999099999999999,9e-05,-0.09543185612236853,-0.5474513963781722
0.01002004008016032,1.0045243204089298,1.0090691102930225,69.34231383782843,0.30619777063597176,0.7027776778628951,9.366179415449505e-05,-0.0967556074482246,-0.5446372699592804
0.02004008016032064,1.0090757295519228,1.0182338279707455,69.65649761096924,0.31249307335135684,0.7056433204120648,9.743420732177417e-05,-0.09808839880405917,-0.5394544579842164
0.03006012024048096,1.0136543608874429,1.0274951633461302,69.97256053206019,0.31888692445703687,0.7085069194439161,0.00010131944517435174,-0.0994302460254872,-0.534263808531215
0.04008016032064128,1.0182603434113047,1.0368541269641083,70.29051150568236,0.3253803415823569,0.7113684656465888,0.00010531973515840991,-0.10078116541034268,-0.529065965457449
0.0501002004008016,1.0228938017770406,1.0463117297138875,70.61035913666912,0.33197434367547995,0.7142279487119085,0.00010943732649379796,-0.10214117372960325,-0.5238615712088763
0.06012024048096192,1.0275548563479466,1.0558689828042493,70.93211173369876,0.3386699509126987,0.7170853574013704,0.000113674490174033,-0.1035102882178633,-0.5186512684755531
0.07014028056112225,1.0322436232725352,1.0655268977868113,71.2557773145031,0.34546818464395773,0.7199406796238796,0.00011803351896629926,-0.10488852657024696,-0.5134356972968339
0.08016032064128256,1.0369602145818875,1.075286486625714,71.5813636125877,0.3523700673745539,0.72279390252374,0.00012251672741144876,-0.10627590694537299,-0.508215496919468
0.09018036072144288,1.0417047382185847,1.08514876162705,71.9088780792289,0.35937662265100445,0.7256450125242117,0.00012712645182400066,-0.107672447947818,-0.5029913040515255
0.1002004008016032,1.0464772981564532,1.0951147355568303,72.23832789173997,0.36648887508310785,0.7284939954234192,0.00013186505029214184,-0.10907816863693792,-0.4977637526220682
0.11022044088176353,1.0512779944252268,1.1051854215627273,72.56971995517341,0.37370785022982406,0.7313408364302131,0.00013673490267772668,-0.11049308850737037,-0.49253347444456963
0.12024048096192384,1.0561069232068583,1.1153618332454567,72.90306090896942,0.38103457459419376,0.7341855202406331,0.00014173841061627672,-0.11191722749031856,-0.4873010970041005
0.13026052104208416,1.0609641768938842,1.125644984652117,73.23835713098482,0.3884700755654755,0.7370280310891095,0.00014687799751698133,-0.11335060594337522,-0.48206724538225254
0.1402805611222445,1.06584984414004,1.1360358902533474,73.57561474098695,0.39601538135175046,0.7398683527930182,0.000152156108562697,-0.11479324463778585,-0.47683253967153405
0.1503006012024048,1.0707640099586822,1.1465355650227966,73.91483960744783,0.4036715209892178,0.7427064688228515,0.0001575752107099481,-0.11624516475959408,-0.4715975965387216
0.16032064128256512,1.075706755736611,1.1571450243373849,74.25603734849825,0.4114395242236325,0.7455423623210445,0.00016313779268892602,-0.11770638788558825,-0.46636302764850923
0.17034068136272545,1.0806781593529846,1.1678652841025547,74.59921334013653,0.4193204215579487,0.7483760161795825,0.00016884636500349,-0.11917693599011979,-0.46112943985738364
